age,sex,autonomy_freedom,autonomy_interesting,autonomy_options,competence_matched,competence_capable,competence_competent,related_important,related_fulfilling,related_not_close,enjoyment_fun,enjoyment_attention,enjoymen_boring,enjoyment_enjoyed,extrinsic_avoid,extrinsic_forget,extrinsic_compelled,extrinsic_escape,spane_acnh_positive,spane_acnh_negative,spane_acnh_good,spane_acnh_bad,spane_acnh_pleasant,spane_acnh_unpleasant,spane_acnh_happy,spane_acnh_sad,spane_acnh_afraid,spane_acnh_joyful,spane_acnh_angry,spane_acnh_contented,Hours,happiness_value
21,1,7,6,5,6,5,6,5,5,2,7,1,1,6,2,5,5,3,6,1,5,2,5,1,5,2,1,5,1,5,1.81,3.83
24,1,7,7,7,7,7,7,5,5,2,7,1,1,7,3,7,6,7,6,2,5,1,7,1,6,1,1,5,1,7,1.72,4.83
50,2,5,3,5,6,5,5,3,3,6,5,5,3,3,1,1,1,2,5,2,5,2,4,2,4,1,1,4,1,4,1.02,2.83
21,1,6,4,5,5,6,7,3,3,7,7,2,1,6,6,7,6,7,7,2,5,2,7,2,7,2,1,7,2,7,1.57,4.83
41,2,5,3,3,4,7,7,6,4,4,5,5,3,6,1,4,3,4,6,2,6,2,7,1,6,1,1,5,1,7,1.52,4.83
30,1,5,5,6,6,6,6,6,6,4,6,1,1,6,4,5,5,5,6,2,5,2,4,2,4,2,1,4,2,4,2.03,2.67
30,1,7,7,5,7,7,7,5,5,2,7,1,2,7,1,3,2,3,5,1,5,1,6,1,5,1,1,4,1,6,2.03,4.17
30,1,7,6,6,7,7,7,5,5,2,7,1,2,7,5,5,6,6,6,1,7,1,7,1,6,1,1,6,1,7,2.16,5.5
24,1,6,6,6,6,6,7,5,5,3,6,3,5,6,2,6,2,5,5,2,5,1,6,1,4,1,1,2,1,4,1.33,3.17
60,1,5,7,5,5,7,6,6,6,2,7,5,5,7,3,3,6,6,7,1,6,1,7,1,5,1,5,5,1,7,2.41,4.5
35,1,5,5,5,4,6,6,6,4,2,7,1,1,7,1,4,5,5,3,1,3,1,3,1,4,1,1,4,3,5,1.06,2.33
30,2,5,5,5,4,7,6,1,1,4,7,4,4,5,1,1,1,4,4,2,4,1,1,1,4,1,1,3,1,4,3.15,2.17
52,2,3,3,5,3,5,3,3,3,6,6,2,4,4,6,2,2,6,6,2,6,1,6,1,7,1,1,6,1,6,1.08,5.0
18,2,6,2,6,4,6,7,5,5,3,5,6,7,7,2,6,1,5,3,4,5,1,4,1,2,4,1,3,4,1,1.43,0.5
29,1,7,6,6,7,7,7,5,5,2,6,1,1,7,4,5,7,6,6,1,7,1,7,1,6,1,1,6,1,7,2.03,5.5
29,1,6,6,6,6,6,6,6,6,2,7,1,1,7,5,6,6,6,5,2,6,2,6,1,6,2,1,5,2,6,2.03,4.0
18,2,7,5,7,7,7,7,5,5,3,7,2,2,4,1,7,7,7,7,4,7,4,7,4,7,4,4,5,4,7,1.33,2.67
21,1,7,7,7,7,7,7,5,5,2,7,1,1,7,3,6,4,6,5,1,7,1,7,2,7,1,1,7,1,7,1.81,5.5
37,2,6,7,6,6,5,6,5,5,2,7,1,1,7,1,6,5,7,6,2,4,3,5,2,5,1,1,3,1,7,1.67,3.33
27,1,5,3,3,7,6,7,2,3,5,5,5,5,3,3,4,2,3,2,2,2,2,2,2,2,2,1,2,2,2,1.85,0.17
42,2,2,2,3,1,7,7,4,2,7,5,7,6,4,1,3,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1.01,0.0
33,1,5,5,6,7,5,3,5,6,2,7,1,3,7,5,7,1,7,6,3,6,3,6,2,4,2,1,5,2,6,2.69,3.33
39,1,4,6,4,6,6,6,5,5,2,6,2,2,6,2,5,2,5,5,2,6,2,6,2,6,2,2,6,2,6,1.43,3.83
27,2,6,6,5,5,6,6,4,4,3,7,4,3,5,4,5,3,5,5,2,5,2,5,2,5,3,3,5,2,5,1.43,2.67
22,1,6,6,6,5,6,7,5,5,2,7,2,2,6,4,5,5,6,5,1,6,1,5,1,5,1,1,5,1,6,1.35,4.33
18,2,6,5,6,6,5,6,6,5,3,7,3,2,6,4,4,5,5,5,2,5,3,5,2,5,1,1,6,2,6,1.33,3.5
38,1,5,5,5,5,5,6,5,5,3,6,3,5,5,1,5,5,4,5,3,5,3,6,2,6,2,1,4,2,6,1.87,3.17
29,2,5,2,4,2,5,6,5,4,4,5,6,5,4,1,6,2,5,4,1,4,1,5,1,3,1,1,3,1,6,1.27,3.17
27,1,7,7,6,7,7,7,7,7,1,7,2,1,7,4,6,6,7,6,2,5,1,5,1,5,1,1,4,1,7,1.81,4.17
36,2,6,6,6,6,5,6,5,5,5,6,4,2,6,4,5,4,4,6,2,5,1,6,1,6,1,1,6,1,5,2.24,4.5
33,1,6,7,6,6,6,6,6,6,6,7,1,1,7,2,2,6,2,4,1,4,1,5,2,4,1,1,5,2,1,2.82,2.5
30,1,6,6,7,6,6,7,5,5,2,7,2,2,7,2,5,4,5,5,2,5,3,6,1,6,2,2,6,2,7,2.03,3.83
